Experiment,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness
code_analysis,EvaluateCodeQuality,React,OpenAi_o1_1217,ReactSignUp,high,low,1,1346,896,3177,25.880556106567383,3.62,4.0
code_analysis,EvaluateCodeQuality,React,OpenAi_o1_1217,ToDoApp_ReactJS,high,avg,1,3342,704,3215,27.81655979156494,4.0,4.0
code_analysis,EvaluateCodeQuality,Angular,OpenAi_o1_1217,AngularCosmoPage,avg,high,1,5505,576,3040,29.234159231185917,3.73,2.03
code_explanation,DescribeTechnicalImplementation,Angular,OpenAi_o1_1217,AngularCosmoPage,avg,high,1,5459,896,3139,23.59078621864319,4.0,4.0
code_explanation,DescribeTechnicalImplementation,React,OpenAi_o1_1217,ReactSignUp,high,low,1,1300,384,1369,11.71082615852356,4.0,3.01
code_explanation,DescribeTechnicalImplementation,React,OpenAi_o1_1217,ToDoApp_ReactJS,high,avg,1,3296,1216,3014,37.31652092933655,4.0,4.0
component_generation,ModifyReactApp,React,OpenAi_o1_1217,ReactFetchAPI,avg,low,1,378,1408,1716,12.694316148757936,4.0,4.0
component_generation,GenerateBaseComponent,none,OpenAi_o1_1217,none,none,none,1,198,1344,2593,30.59890103340149,4.0,4.0
component_generation,GenerateReactApp,none,OpenAi_o1_1217,none,none,none,1,187,1280,1970,20.351476907730103,3.02,3.0
solution_documentation,BusinessFunctionality,React,OpenAi_o1_1217,ReactSignUp,high,low,1,1222,128,838,59.33282494544983,2.22,4.0
solution_documentation,BusinessFunctionality,React,OpenAi_o1_1217,ToDoApp_ReactJS,high,avg,1,3218,256,1281,14.319015264511108,3.5,4.0
solution_documentation,BusinessFunctionality,Angular,OpenAi_o1_1217,AngularCosmoPage,avg,high,1,5381,512,1922,15.6785409450531,2.98,2.5
solution_migration,ReactToAngular,React,OpenAi_o1_1217,ToDoApp_ReactJS,high,avg,1,3268,1472,5525,40.17637228965759,4.0,4.0
solution_migration,jQueryToReact,jQuery,OpenAi_o1_1217,ToDoApp_jQuery,high,low,1,2342,4416,7727,63.6075758934021,4.0,4.0
solution_migration,AngularToReact,Angular,OpenAi_o1_1217,AngularCosmoPage,avg,high,1,5412,1728,7581,97.47918105125429,4.0,4.0
solution_migration,UpdateReact,React,OpenAi_o1_1217,ToDoApp_ReactJS,high,avg,1,3257,2240,5221,43.44010615348816,4.0,4.0
solution_migration,UpdateAngular,Angular,OpenAi_o1_1217,ToDoApp_AngularJS,avg,avg_2,1,2274,2688,6719,50.049870014190674,4.0,4.0
solution_migration,ReactToAngular,React,OpenAi_o1_1217,ReactSignUp,high,low,1,1272,2432,4149,33.51964020729065,4.0,4.0
solution_migration,VanillaToReact,NativeJS,OpenAi_o1_1217,Piano_NativeJS,high,low,1,1401,2688,5583,149.3962960243225,4.0,4.0
solution_template_generation,GenerateProjectConfiguration,none,OpenAi_o1_1217,none,none,none,1,131,1152,2097,18.9056932926178,,
test_generation,WriteTestsForLegacyCode,React,OpenAi_o1_1217,ReactSignUp,high,low,1,1229,1536,3186,24.66909694671631,3.08,3.82
test_generation,WriteTestsForLegacyCode,React,OpenAi_o1_1217,ToDoApp_ReactJS,high,avg,1,3225,704,5620,42.40423798561096,4.0,2.03
test_generation,WriteTestsForLegacyCode,Angular,OpenAi_o1_1217,AngularCosmoPage,avg,high,1,5388,1280,2505,20.347777843475345,2.5,1.94
test_generation,WriteTestsForActualCode,React,OpenAi_o1_1217,ReactSelect,extra_high,high,1,15763,576,2081,33.949581146240234,3.01,2.15
