Experiment,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness
code_analysis,EvaluateCodeQuality,React,Gemini_15_Pro_002,ReactSignUp,high,low,1,1532,0,1333,39.55040884017944,4.0,3.07
code_analysis,EvaluateCodeQuality,React,Gemini_15_Pro_002,ToDoApp_ReactJS,high,avg,1,3892,0,1396,48.45672011375427,3.38,3.98
code_analysis,EvaluateCodeQuality,Angular,Gemini_15_Pro_002,AngularCosmoPage,avg,high,1,6432,0,1227,34.506896018981934,1.97,4.0
code_explanation,DescribeTechnicalImplementation,Angular,Gemini_15_Pro_002,AngularCosmoPage,avg,high,1,6380,0,1165,39.902183294296265,2.29,2.94
code_explanation,DescribeTechnicalImplementation,React,Gemini_15_Pro_002,ReactSignUp,high,low,1,1480,0,873,19.24403190612793,4.0,2.15
code_explanation,DescribeTechnicalImplementation,React,Gemini_15_Pro_002,ToDoApp_ReactJS,high,avg,1,3840,0,1226,26.42675471305847,4.0,4.0
component_generation,ModifyReactApp,React,Gemini_15_Pro_002,ReactFetchAPI,avg,low,1,416,0,359,9.491952180862429,4.0,4.0
component_generation,GenerateBaseComponent,none,Gemini_15_Pro_002,none,none,none,1,201,0,1124,26.702458143234253,3.15,4.0
component_generation,GenerateReactApp,none,Gemini_15_Pro_002,none,none,none,1,192,0,580,14.895727157592772,3.01,4.0
solution_documentation,BusinessFunctionality,React,Gemini_15_Pro_002,ReactSignUp,high,low,1,1395,0,779,36.61109185218811,3.22,3.99
solution_documentation,BusinessFunctionality,React,Gemini_15_Pro_002,ToDoApp_ReactJS,high,avg,1,3755,0,763,36.43042087554932,4.0,3.04
solution_documentation,BusinessFunctionality,Angular,Gemini_15_Pro_002,AngularCosmoPage,avg,high,1,6295,0,886,40.13581371307373,4.0,4.0
solution_migration,ReactToAngular,React,Gemini_15_Pro_002,ToDoApp_ReactJS,high,avg,1,3817,0,3306,90.3672580718994,3.78,4.0
solution_migration,jQueryToReact,jQuery,Gemini_15_Pro_002,ToDoApp_jQuery,high,low,1,2766,0,2764,70.72240018844604,4.0,4.0
solution_migration,AngularToReact,Angular,Gemini_15_Pro_002,AngularCosmoPage,avg,high,1,6338,0,4248,113.37474608421326,4.0,4.0
solution_migration,UpdateReact,React,Gemini_15_Pro_002,ToDoApp_ReactJS,high,avg,1,3807,0,3382,70.24427700042725,4.0,4.0
solution_migration,UpdateAngular,Angular,Gemini_15_Pro_002,ToDoApp_AngularJS,avg,avg_2,1,2591,0,1865,55.43056702613831,2.0,2.8
solution_migration,ReactToAngular,React,Gemini_15_Pro_002,ReactSignUp,high,low,1,1457,0,1627,34.03488302230835,2.12,3.0
solution_migration,VanillaToReact,NativeJS,Gemini_15_Pro_002,Piano_NativeJS,high,low,1,1598,0,1502,51.088287115097046,4.0,4.0
solution_template_generation,GenerateProjectConfiguration,none,Gemini_15_Pro_002,none,none,none,1,126,0,820,18.335742950439453,,
test_generation,WriteTestsForLegacyCode,React,Gemini_15_Pro_002,ReactSignUp,high,low,1,1409,0,1179,28.40007495880127,2.99,3.0
test_generation,WriteTestsForLegacyCode,React,Gemini_15_Pro_002,ToDoApp_ReactJS,high,avg,1,3769,0,1684,36.03189969062805,3.05,1.38
test_generation,WriteTestsForLegacyCode,Angular,Gemini_15_Pro_002,AngularCosmoPage,avg,high,1,6309,0,1581,34.65371918678284,1.82,0.08
test_generation,WriteTestsForActualCode,React,Gemini_15_Pro_002,ReactSelect,extra_high,high,1,18138,0,1820,42.23484802246094,2.03,4.0
