metric,score,weighted_score,is_confident,score_4,category,experiment,repository,scenario_id,model,score_5,score_3,score_2,score_1
accuracy,4,4.0,True,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,claude-3-7-sonnet@20250219,,,,
completeness,4,4.01,True,0.99,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,claude-3-7-sonnet@20250219,0.01,,,
accuracy,3,3.5,False,0.5,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,o3-mini,,0.5,,
completeness,3,2.9,False,,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,o3-mini,,0.9,0.1,
accuracy,4,3.62,False,0.62,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,claude-3-7-sonnet@20250219,,0.38,,
completeness,5,5.0,True,,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,claude-3-7-sonnet@20250219,1.0,,,
accuracy,3,3.01,True,0.01,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,o3-mini,,0.99,,
completeness,2,2.38,False,,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,o3-mini,,0.38,0.62,
accuracy,4,4.0,True,1.0,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,claude-3-7-sonnet@20250219,,,,
completeness,1,1.0,True,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,claude-3-7-sonnet@20250219,,,,1.0
accuracy,3,3.0,True,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,o3-mini,,1.0,,
completeness,1,1.0,True,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,o3-mini,,,,1.0
accuracy,2,2.0,True,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,claude-3-7-sonnet@20250219,,,1.0,
completeness,4,4.0,True,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,claude-3-7-sonnet@20250219,,,,
accuracy,3,2.73,False,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,o3-mini,,0.73,0.27,
completeness,3,3.0,True,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,o3-mini,,1.0,,
accuracy,4,3.9,False,0.9,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,claude-3-7-sonnet@20250219,,0.1,,
completeness,5,5.0,True,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,claude-3-7-sonnet@20250219,1.0,,,
accuracy,4,4.0,True,1.0,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,o3-mini,,,,
completeness,2,2.03,True,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,o3-mini,,0.03,0.97,
accuracy,3,2.99,True,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,claude-3-7-sonnet@20250219,,0.99,0.01,
completeness,3,3.44,False,0.44,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,claude-3-7-sonnet@20250219,,0.56,,
accuracy,5,4.78,False,0.22,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,o3-mini,0.78,,,
completeness,4,4.0,True,1.0,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,o3-mini,,,,
accuracy,3,3.0,True,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,claude-3-7-sonnet@20250219,,1.0,,
completeness,4,3.99,True,0.99,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,claude-3-7-sonnet@20250219,,0.01,,
accuracy,3,3.02,True,0.02,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,o3-mini,,0.98,,
completeness,3,3.0,True,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,o3-mini,,1.0,,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,,
completeness,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,o3-mini,1.0,,,
completeness,5,5.0,True,,GenerateReactApp,component_generation,,2,o3-mini,1.0,,,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,,
completeness,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,o3-mini,1.0,,,
completeness,5,4.68,False,0.32,GenerateReactApp,component_generation,,2,o3-mini,0.68,,,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,,
completeness,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,o3-mini,1.0,,,
completeness,5,5.0,True,,GenerateReactApp,component_generation,,2,o3-mini,1.0,,,
accuracy,3,3.27,False,0.27,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,claude-3-7-sonnet@20250219,,0.73,,
completeness,5,4.92,True,0.08,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,claude-3-7-sonnet@20250219,0.92,,,
accuracy,3,3.0,True,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,o3-mini,,1.0,,
completeness,4,4.01,True,0.99,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,o3-mini,0.01,,,
accuracy,5,4.68,False,0.32,GenerateBaseComponent,component_generation,,1,claude-3-7-sonnet@20250219,0.68,,,
completeness,4,3.99,True,0.99,GenerateBaseComponent,component_generation,,1,claude-3-7-sonnet@20250219,,0.01,,
accuracy,4,4.18,False,0.82,GenerateBaseComponent,component_generation,,1,o3-mini,0.18,,,
completeness,4,4.0,True,1.0,GenerateBaseComponent,component_generation,,1,o3-mini,,,,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,,
completeness,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,o3-mini,1.0,,,
completeness,5,5.0,True,,GenerateReactApp,component_generation,,2,o3-mini,1.0,,,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,,
completeness,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,o3-mini,1.0,,,
completeness,5,5.0,True,,GenerateReactApp,component_generation,,2,o3-mini,1.0,,,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,,
completeness,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,o3-mini,1.0,,,
completeness,5,5.0,True,,GenerateReactApp,component_generation,,2,o3-mini,1.0,,,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,,
completeness,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,o3-mini,1.0,,,
completeness,5,5.0,True,,GenerateReactApp,component_generation,,2,o3-mini,1.0,,,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,,
completeness,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,o3-mini,1.0,,,
completeness,5,5.0,True,,GenerateReactApp,component_generation,,2,o3-mini,1.0,,,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,,
completeness,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,o3-mini,1.0,,,
completeness,5,5.0,True,,GenerateReactApp,component_generation,,2,o3-mini,1.0,,,
accuracy,5,5.0,True,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,claude-3-7-sonnet@20250219,1.0,,,
completeness,5,4.96,True,0.04,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,claude-3-7-sonnet@20250219,0.96,,,
accuracy,5,5.0,True,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,o3-mini,1.0,,,
completeness,4,4.0,True,1.0,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,o3-mini,,,,
accuracy,4,3.99,True,0.99,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,claude-3-7-sonnet@20250219,,0.01,,
completeness,3,2.56,False,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,claude-3-7-sonnet@20250219,,0.56,0.44,
accuracy,5,5.0,True,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,o3-mini,1.0,,,
completeness,2,2.15,False,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,o3-mini,,0.15,0.85,
accuracy,5,5.0,True,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,claude-3-7-sonnet@20250219,1.0,,,
completeness,1,1.0,True,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,claude-3-7-sonnet@20250219,,,,1.0
accuracy,5,4.73,False,0.27,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,o3-mini,0.73,,,
completeness,1,1.02,True,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,o3-mini,,,0.02,0.98
