Experiment,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness
code_analysis,EvaluateCodeQuality,React,Llama31_405B,ReactSignUp,high,low,1,1304,0,1507,23.270418882369995
code_analysis,EvaluateCodeQuality,React,Llama31_405B,ToDoApp_ReactJS,high,avg,1,3244,0,1726,31.528268098831177
code_analysis,EvaluateCodeQuality,Angular,Llama31_405B,AngularCosmoPage,avg,high,1,5428,0,1262,24.165719032287598
code_explanation,DescribeTechnicalImplementation,Angular,Llama31_405B,AngularCosmoPage,avg,high,1,5381,0,967,16.477113008499146
code_explanation,DescribeTechnicalImplementation,React,Llama31_405B,ReactSignUp,high,low,1,1257,0,576,12.781541109085083
code_explanation,DescribeTechnicalImplementation,React,Llama31_405B,ToDoApp_ReactJS,high,avg,1,3197,0,591,10.934417963027954
component_generation,ModifyReactApp,React,Llama31_405B,ReactFetchAPI,avg,low,1,374,0,554,10.78577208518982
component_generation,GenerateBaseComponent,none,Llama31_405B,none,none,none,1,201,0,871,13.413550853729248
component_generation,GenerateReactApp,none,Llama31_405B,none,none,none,1,190,0,367,6.752724885940552
solution_documentation,BusinessFunctionality,React,Llama31_405B,ReactSignUp,high,low,1,1180,0,549,12.164878129959106
solution_documentation,BusinessFunctionality,React,Llama31_405B,ToDoApp_ReactJS,high,avg,1,3120,0,693,13.222524166107178
solution_documentation,BusinessFunctionality,Angular,Llama31_405B,AngularCosmoPage,avg,high,1,5304,0,528,10.852802038192749
solution_migration,ReactToAngular,React,Llama31_405B,ToDoApp_ReactJS,high,avg,1,3167,0,1866,31.913650035858154
solution_migration,jQueryToReact,jQuery,Llama31_405B,ToDoApp_jQuery,high,low,1,2324,0,1773,26.85570192337036
solution_migration,AngularToReact,Angular,Llama31_405B,AngularCosmoPage,avg,high,1,5334,0,1365,22.014437198638916
solution_migration,UpdateReact,React,Llama31_405B,ToDoApp_ReactJS,high,avg,1,3157,0,1559,49.56342911720276
solution_migration,UpdateAngular,Angular,Llama31_405B,ToDoApp_AngularJS,avg,avg_2,1,2260,0,1665,27.118966102600098
solution_migration,ReactToAngular,React,Llama31_405B,ReactSignUp,high,low,1,1227,0,986,15.843514919281006
solution_migration,VanillaToReact,NativeJS,Llama31_405B,Piano_NativeJS,high,low,1,1355,0,1727,32.06361222267151
solution_template_generation,GenerateProjectConfiguration,none,Llama31_405B,none,none,none,1,134,0,1310,24.759560346603394
test_generation,WriteTestsForLegacyCode,React,Llama31_405B,ReactSignUp,high,low,1,1185,0,963,20.385944843292236
test_generation,WriteTestsForLegacyCode,React,Llama31_405B,ToDoApp_ReactJS,high,avg,1,3125,0,1702,24.04694700241089
test_generation,WriteTestsForLegacyCode,Angular,Llama31_405B,AngularCosmoPage,avg,high,1,5309,0,2999,48.070629835128784
test_generation,WriteTestsForActualCode,React,Llama31_405B,ReactSelect,extra_high,high,1,15422,0,702,89.25794196128845
